title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score
Five Came Back: The Reference Films,SHOW,1945,TV-MA,48,['documentation'],['US'],1.0,,
Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],,tt0075314,8.3
Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],,tt0071853,8.2
Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],,tt0079470,8.0
The Exorcist,MOVIE,1973,R,133,['horror'],['US'],,tt0070047,8.1
Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8
Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],,tt0066999,7.7
My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],,tt0058385,7.8
The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],,tt0080453,5.8
Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],,tt0061418,7.7
The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],,tt0060862,7.3
The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,tt0079833,7.6
Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1
The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],,tt0081071,6.9
White Christmas,MOVIE,1954,,115,"['romance', 'comedy', 'music']",['US'],,tt0047673,7.5
Cairo Station,MOVIE,1958,,77,"['drama', 'crime', 'comedy']",['EG'],,tt0051390,7.5
The Queen,MOVIE,1968,,68,['documentation'],['US'],,tt0183686,7.2
Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],,tt0191182,7.5
FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],,tt0068562,6.2
Saladin the Victorious,MOVIE,1963,,186,"['drama', 'war', 'action', 'history', 'romance']",['EG'],,tt0057357,7.6
Singapore,MOVIE,1960,,158,"['drama', 'thriller', 'crime']",['IN'],,tt0268639,6.4
Dark Waters,MOVIE,1956,,120,"['drama', 'action', 'romance', 'thriller']",['EG'],,tt0049761,6.7
Alexandria… Why?,MOVIE,1979,,133,['drama'],['EG'],,tt0077751,7.2
Raya and Sakina,MOVIE,1953,,105,"['drama', 'thriller', 'crime', 'history']",['EG'],,tt0316472,6.8
No Longer Kids,MOVIE,1979,,235,"['comedy', 'drama']",['EG'],,tt8312792,9.0
Amrapali,MOVIE,1966,,120,['fantasy'],['IN'],,tt0060104,6.7
Dostana,MOVIE,1980,,161,"['drama', 'comedy', 'romance', 'action', 'crime']",['IN'],,tt0080653,2.1
The Blazing Sun,MOVIE,1954,,100,"['romance', 'crime', 'drama']",['EG'],,tt0044429,7.4
Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],1.0,tt0202477,8.1
The Return of the Prodigal Son,MOVIE,1976,,124,"['drama', 'crime']","['DZ', 'EG']",,tt0074168,7.2
Prince,MOVIE,1969,,152,['romance'],['IN'],,tt0064842,6.9
Lock Your Girls In,MOVIE,1980,,230,['comedy'],['EG'],,,
The Witness Who Didn't See Anything,MOVIE,1976,,217,['comedy'],['EG'],,,
The School of Mischief,MOVIE,1973,,251,['comedy'],['EG'],,,
Manoranjan,MOVIE,1974,,162,"['comedy', 'drama', 'romance']",['IN'],,tt0071811,6.5
"Beirut, Oh Beirut",MOVIE,1975,,110,['drama'],['LB'],,tt0169599,6.5
We Are All for the Fatherland,MOVIE,1979,,74,['documentation'],"['FR', 'LB', 'CA']",,tt0170799,6.2
Whispers,MOVIE,1980,,93,['documentation'],"['FR', 'LB', 'CA']",,tt0170803,7.8
Lal Patthar,MOVIE,1971,,153,['drama'],['IN'],,tt0237395,6.2
Ujala,MOVIE,1959,,142,"['romance', 'crime', 'drama']",['IN'],,tt0157132,6.7
Alibaba Aur 40 Chor,MOVIE,1979,,138,"['drama', 'action', 'romance', 'family', 'fantasy']","['IN', 'SU']",,tt0079749,6.2
Professor,MOVIE,1962,,163,"['romance', 'comedy', 'drama']",['IN'],,tt0056379,6.8
Chadi Jawani Budhe Nu,MOVIE,1976,,135,['romance'],['IN'],,tt3290368,4.6
Bandie,MOVIE,1978,,141,"['drama', 'romance', 'action']",['IN'],,tt1219315,4.2
Khoon Khoon,MOVIE,1973,,131,"['drama', 'crime', 'thriller']",['IN'],,tt0230412,5.1
Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],,tt0092099,6.9
Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9.0,tt0098904,8.9
Stand by Me,MOVIE,1986,R,89,['drama'],['US'],,tt0092005,8.1
Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",,tt0087843,8.3
When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],,tt0098635,7.7
Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",,tt0100758,6.7
Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",,tt0093058,8.3
Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],,tt0085333,6.7
A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],,tt0087800,7.4
Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,tt0083437,6.9
Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],,tt0099077,7.8
